tag_num,sex,dob,calf_birth_weight,calf_wean_weight,wean_date,cow_weight,year,wean_age,calf_weight_gained,calf_weight_gained_per_day,weight_gained_as_perc_of_cow,weight_gained_as_perc_of_cow_per_day,id
405,NA,NA,NA,357,2019-10-10,1080,2019,NA,NA,NA,NA,NA,405_2019
502,H,2019-04-08,61,535,2019-10-10,1310,2019,185,474,2.562162162162162,0.3618320610687023,0.0019558489787497423,502_2019
503,H,2019-04-25,69,484,2019-10-10,1355,2019,168,415,2.4702380952380953,0.3062730627306273,0.0018230539448251626,503_2019
504,S,2019-04-29,84,574,2019-10-10,1295,2019,164,490,2.9878048780487805,0.3783783783783784,0.0023071852340145024,504_2019
514,S,2019-03-15,75,630,2019-10-10,1365,2019,209,555,2.6555023923444976,0.4065934065934066,0.001945422998054577,514_2019
515,H,2019-03-29,66,532,2019-10-10,1415,2019,195,466,2.3897435897435897,0.32932862190812723,0.0016888647277339857,515_2019
683,B,2019-05-14,67,451,2019-10-10,1065,2019,149,384,2.577181208053691,0.36056338028169016,0.002419888458266377,683_2019
795,H,2019-05-12,60,374,2019-10-10,924,2019,151,314,2.0794701986754967,0.3398268398268398,0.0022505088730254293,795_2019
1003,H,2019-03-27,58,500,2019-10-10,1680,2019,197,442,2.2436548223350252,0.2630952380952381,0.0013355088228184674,1003_2019
1006,S,2019-04-24,72,570,2019-10-10,1545,2019,169,498,2.9467455621301775,0.32233009708737864,0.001907278680990406,1006_2019
1011,B,2019-03-17,69,586,2019-10-10,1595,2019,207,517,2.497584541062802,0.32413793103448274,0.0015658837248042645,1011_2019
2023,S,2019-04-03,74,586,2019-10-10,1800,2019,190,512,2.694736842105263,0.28444444444444444,0.001497076023391813,2023_2019
2027,S,2019-03-14,60,680,2019-10-10,1465,2019,210,620,2.9523809523809526,0.4232081911262799,0.0020152771006013326,2027_2019
2031,S,2019-03-12,81,748,2019-10-10,1675,2019,212,667,3.1462264150943398,0.3982089552238806,0.0018783441284145313,2031_2019
2032,S,2019-03-26,71,748,2019-10-10,1675,2019,198,677,3.419191919191919,0.40417910447761196,0.0020413086084727877,2032_2019
3035,H,2019-03-13,77,690,2019-10-10,1385,2019,211,613,2.90521327014218,0.44259927797833937,0.0020976269098499497,3035_2019
3036,S,2019-04-02,77,632,2019-10-10,1650,2019,191,555,2.905759162303665,0.33636363636363636,0.0017610661589719182,3036_2019
3037,H,2019-03-09,65,664,2019-10-10,1615,2019,215,599,2.786046511627907,0.37089783281733746,0.0017251061991504068,3037_2019
3038,B,2019-03-14,80,686,2019-10-10,1775,2019,210,606,2.8857142857142857,0.3414084507042254,0.001625754527162978,3038_2019
3040,H,2019-03-31,60,574,2019-10-10,1415,2019,193,514,2.6632124352331608,0.36325088339222616,0.0018821289294933998,3040_2019
3041,H,2019-03-28,55,594,2019-10-10,1625,2019,196,539,2.75,0.3316923076923077,0.0016923076923076922,3041_2019
3043,H,2019-03-13,70,632,2019-10-10,1555,2019,211,562,2.6635071090047395,0.3614147909967846,0.0017128663080416332,3043_2019
3045,H,2019-03-22,65,606,2019-10-10,1455,2019,202,541,2.6782178217821784,0.3718213058419244,0.0018406995338709129,3045_2019
3047,S,2019-04-02,72,588,2019-10-10,1440,2019,191,516,2.701570680628272,0.35833333333333334,0.0018760907504363,3047_2019
3054,H,2019-03-19,70,600,2019-10-10,1425,2019,205,530,2.5853658536585367,0.3719298245614035,0.0018142918271287975,3054_2019
3066,S,2019-03-23,55,550,2019-10-10,1405,2019,201,495,2.462686567164179,0.35231316725978645,0.0017528018271631167,3066_2019
3067,H,2019-03-29,74,676,2019-10-10,1600,2019,195,602,3.0871794871794873,0.37625,0.0019294871794871794,3067_2019
3070,S,2019-04-06,81,634,2019-10-10,1380,2019,187,553,2.9572192513368982,0.4007246376811594,0.0021429125009687668,3070_2019
3072,NA,NA,NA,NA,2019-10-10,NA,2019,NA,NA,NA,NA,NA,3072_2019
4022,S,2019-03-19,75,744,2019-10-10,1325,2019,205,669,3.2634146341463413,0.5049056603773585,0.0024629544408651637,4022_2019
4095,H,2019-03-29,77,640,2019-10-10,1480,2019,195,563,2.887179487179487,0.3804054054054054,0.0019507969507969508,4095_2019
4097,S,2019-03-15,78,774,2019-10-10,1485,2019,209,696,3.3301435406698565,0.4686868686868687,0.002242520902807984,4097_2019
4098,H,2019-04-01,62,570,2019-10-10,1385,2019,192,508,2.6458333333333335,0.3667870036101083,0.0019103489771359807,4098_2019
4101,S,2019-04-01,78,620,2019-10-10,1485,2019,192,542,2.8229166666666665,0.36498316498316496,0.0019009539842873176,4101_2019
4106,B,2019-03-11,78,804,2019-10-10,1410,2019,213,726,3.408450704225352,0.5148936170212766,0.002417340924982519,4106_2019
4107,S,2019-03-07,70,696,2019-10-10,1440,2019,217,626,2.8847926267281108,0.43472222222222223,0.002003328213005632,4107_2019
4111,NA,NA,NA,NA,2019-10-10,NA,2019,NA,NA,NA,NA,NA,4111_2019
4113,H,2019-03-10,71,620,2019-10-10,1330,2019,214,549,2.5654205607476634,0.41278195488721803,0.0019288876396598973,4113_2019
4115,S,2019-04-01,74,608,2019-10-10,1345,2019,192,534,2.78125,0.3970260223048327,0.0020678438661710036,4115_2019
4116,S,2019-03-16,75,636,2019-10-10,1595,2019,208,561,2.6971153846153846,0.35172413793103446,0.0016909814323607425,4116_2019
4232,H,2019-03-28,69,568,2019-10-10,1550,2019,196,499,2.545918367346939,0.32193548387096776,0.001642527978933509,4232_2019
4434,S,2019-03-25,65,590,2019-10-10,1680,2019,199,525,2.6381909547738696,0.3125,0.00157035175879397,4434_2019
4439,S,2019-04-16,91,626,2019-10-10,1625,2019,177,535,3.022598870056497,0.3292307692307692,0.0018600608431116905,4439_2019
4446,S,2019-03-14,80,614,2019-10-10,1480,2019,210,534,2.5428571428571427,0.3608108108108108,0.0017181467181467181,4446_2019
4642,S,2019-05-05,73,636,2019-10-10,1635,2019,158,563,3.5632911392405062,0.3443425076452599,0.002179382959780126,4642_2019
4678,S,2019-03-31,85,618,2019-10-10,1560,2019,193,533,2.761658031088083,0.3416666666666667,0.001770293609671848,4678_2019
4708,H,2019-03-28,72,640,2019-10-10,1309,2019,196,568,2.8979591836734695,0.43391902215431627,0.0022138725620118177,4708_2019
5021,S,2019-04-01,70,610,2019-10-10,1285,2019,192,540,2.8125,0.42023346303501946,0.002188715953307393,5021_2019
5067,H,2019-03-29,67,636,2019-10-10,1395,2019,195,569,2.917948717948718,0.4078853046594982,0.0020917195110743496,5067_2019
5120,H,2019-04-27,70,442,2019-10-10,NA,2019,166,372,2.2409638554216866,NA,NA,5120_2019
5122,S,2019-03-12,72,592,2019-10-10,1530,2019,212,520,2.452830188679245,0.33986928104575165,0.0016031569860648662,5122_2019
5123,S,2019-03-28,78,604,2019-10-10,1430,2019,196,526,2.683673469387755,0.3678321678321678,0.0018766947338375909,5123_2019
5125,S,2019-03-15,60,622,2019-10-10,1260,2019,209,562,2.688995215311005,0.44603174603174606,0.0021341231867547657,5125_2019
5126,S,2019-03-14,60,580,2019-10-10,1510,2019,210,520,2.4761904761904763,0.3443708609271523,0.0016398612425102491,5126_2019
5129,H,2019-04-06,72,528,2019-10-10,1250,2019,187,456,2.4385026737967914,0.3648,0.0019508021390374332,5129_2019
5132,H,2019-03-11,83,752,2019-10-10,1680,2019,213,669,3.140845070422535,0.3982142857142857,0.0018695506371562709,5132_2019
5139,H,2019-03-09,76,702,2019-10-10,1410,2019,215,626,2.911627906976744,0.44397163120567373,0.00206498433118918,5139_2019
5140,S,2019-03-26,70,522,2019-10-10,1060,2019,198,452,2.282828282828283,0.42641509433962266,0.0021536115875738517,5140_2019
5141,H,2019-03-24,60,534,2019-10-10,1195,2019,200,474,2.37,0.396652719665272,0.00198326359832636,5141_2019
5148,S,2019-03-12,74,668,2019-10-10,1500,2019,212,594,2.80188679245283,0.396,0.0018679245283018868,5148_2019
5150,S,2019-04-02,71,632,2019-10-10,1265,2019,191,561,2.93717277486911,0.4434782608695652,0.00232187571135898,5150_2019
5151,S,2019-03-12,75,618,2019-10-10,1225,2019,212,543,2.561320754716981,0.44326530612244897,0.0020908740854832498,5151_2019
5155,H,2019-04-26,76,546,2019-10-10,1380,2019,167,470,2.81437125748503,0.34057971014492755,0.002039399461945674,5155_2019
5330,S,2019-03-11,81,708,2019-10-10,1535,2019,213,627,2.943661971830986,0.4084690553745928,0.0019176950956553654,5330_2019
5386,H,2019-03-22,60,600,2019-10-10,1470,2019,202,540,2.6732673267326734,0.3673469387755102,0.0018185492018589614,5386_2019
