DateTime,19090-00060-00003,Code
1900-01-01,40.0,A
1900-01-02,40.0,A
1900-01-03,40.0,A
1900-01-04,40.0,A
1900-01-05,40.0,A
1900-01-06,40.0,A
1900-01-07,40.0,A
1900-01-08,40.0,A
1900-01-09,40.0,A
1900-01-10,40.0,A
1900-01-11,40.0,A
1900-01-12,40.0,A
1900-01-13,40.0,A
1900-01-14,40.0,A
1900-01-15,40.0,A
1900-01-16,40.0,A
1900-01-17,40.0,A
1900-01-18,40.0,A
1900-01-19,40.0,A
1900-01-20,40.0,A
1900-01-21,40.0,A
1900-01-22,40.0,A
1900-01-23,40.0,A
1900-01-24,40.0,A
1900-01-25,40.0,A
1900-01-26,40.0,A
1900-01-27,40.0,A
1900-01-28,40.0,A
1900-01-29,40.0,A
1900-01-30,40.0,A
1900-01-31,40.0,A
1900-02-01,40.0,A
1900-02-02,40.0,A
1900-02-03,40.0,A
1900-02-04,40.0,A
1900-02-05,40.0,A
1900-02-06,40.0,A
1900-02-07,40.0,A
1900-02-08,40.0,A
1900-02-09,40.0,A
1900-02-10,40.0,A
1900-02-11,40.0,A
1900-02-12,40.0,A
1900-02-13,40.0,A
1900-02-14,40.0,A
1900-02-15,40.0,A
1900-02-16,40.0,A
1900-02-17,40.0,A
1900-02-18,40.0,A
1900-02-19,40.0,A
1900-02-20,40.0,A
1900-02-21,40.0,A
1900-02-22,40.0,A
1900-02-23,40.0,A
1900-02-24,40.0,A
1900-02-25,40.0,A
1900-02-26,40.0,A
1900-02-27,40.0,A
1900-02-28,40.0,A
1900-03-01,55.0,A
1900-03-02,55.0,A
1900-03-03,55.0,A
1900-03-04,55.0,A
1900-03-05,55.0,A
1900-03-06,55.0,A
1900-03-07,55.0,A
1900-03-08,55.0,A
1900-03-09,69.0,A
1900-03-10,69.0,A
1900-03-11,69.0,A
1900-03-12,69.0,A
1900-03-13,100,A
1900-03-14,100,A
1900-03-15,100,A
1900-03-16,141,A
1900-03-17,141,A
1900-03-18,192,A
1900-03-19,141,A
1900-03-20,141,A
1900-03-21,141,A
1900-03-22,141,A
1900-03-23,118,A
1900-03-24,118,A
1900-03-25,118,A
1900-03-26,118,A
1900-03-27,118,A
1900-03-28,100,A
1900-03-29,82.0,A
1900-03-30,118,A
1900-03-31,141,A
1900-04-01,141,A
1900-04-02,250,A
1900-04-03,164,A
1900-04-04,141,A
1900-04-05,220,A
1900-04-06,250,A
1900-04-07,192,A
1900-04-08,164,A
1900-04-09,141,A
1900-04-10,118,A
1900-04-11,118,A
1900-04-12,118,A
1900-04-13,100,A
1900-04-14,100,A
1900-04-15,164,A
1900-04-16,220,A
1900-04-17,220,A
1900-04-18,280,A
1900-04-19,311,A
1900-04-20,412,A
1900-04-21,519,A
1900-04-22,555,A
1900-04-23,555,A
1900-04-24,447,A
1900-04-25,412,A
1900-04-26,412,A
1900-04-27,447,A
1900-04-28,483,A
1900-04-29,447,A
1900-04-30,412,A
1900-05-01,483,A
1900-05-02,519,A
1900-05-03,483,A
1900-05-04,555,A
1900-05-05,885,A
1900-05-06,810,A
1900-05-07,962,A
1900-05-08,962,A
1900-05-09,"1,160",A
1900-05-10,"1,200",A
1900-05-11,"1,460",A
1900-05-12,"1,600",A
1900-05-13,"1,370",A
1900-05-14,"1,280",A
1900-05-15,"1,370",A
1900-05-16,"1,550",A
1900-05-17,"1,690",A
